f1,f2,f3,f4,f5,f6,f7,f8,f9,f10,f11,f12,f13,f14,f15,f16,f17,f18,f19,f20,f21,f22,f23,f24,f25,f26,f27,f28,f29,f30,y,explanation
0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.650787037037037,0.0,0.7529411764705882,0.6313725490196078,0.3607843137254902,0.6,0.006759746700236515,0.7529411764705882,0.6588235294117647,0.7843137254901961,0.0196078431372549,0.9352864881361104,0.007874015748031496,1.0058270541475074e-07,0.0,1.0,0.0,0,1,0,0,0,0,0,"['f23', 'f26']"
0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.60875,0.0,0.7529411764705882,0.6588235294117647,0.8627450980392157,0.015686274509803918,0.963363088426032,0.7529411764705882,0.5333333333333333,0.4235294117647059,0.0039215686274509795,0.006790264744029908,0.007874015748031496,1.2293441772913982e-07,0.0,0.0,1.0,0,1,0,0,0,0,1,['f24']
0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.9070023148148147,0.0,0.7529411764705882,0.6274509803921569,0.11372549019607844,0.3019607843137255,0.002822919050888838,0.7529411764705882,0.6588235294117647,0.8627450980392157,0.09411764705882353,0.7971160448615244,0.023622047244094488,7.823099310036169e-07,0.0,1.0,0.0,0,0,1,0,0,0,0,"['f23', 'f27']"
0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.4916435185185185,0.0,0.7568627450980392,0.6627450980392157,0.4862745098039216,0.035294117647058816,0.12732127870603493,0.7529411764705882,0.6588235294117647,0.8627450980392157,0.7490196078431373,0.6593270771343557,0.0,1.031904051847628e-06,0.0,1.0,0.0,0,0,0,0,1,0,0,"['f23', 'f29']"
0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.6851273148148148,0.0,0.21176470588235294,0.06666666666666668,0.24705882352941175,0.7607843137254902,0.0012207217517357135,0.7529411764705882,0.6588235294117647,0.8627450980392157,0.015686274509803918,0.5490653849088274,0.007874015748031496,1.2293441772913982e-07,0.0,0.0,1.0,0,0,0,0,0,0,1,['f24']
0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.6648148148148149,0.0,0.7529411764705882,0.5058823529411764,0.10980392156862744,0.035294117647058816,0.0008087281605249103,0.7529411764705882,0.6588235294117647,0.8627450980392157,0.043137254901960784,0.8510719462882429,0.023622047244094488,4.24682533973392e-07,0.0,1.0,0.0,0,0,1,0,0,0,0,"['f23', 'f27']"
1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.5652314814814815,0.0,0.7529411764705882,0.5372549019607843,0.10980392156862744,0.035294117647058816,0.006790264744029908,0.7529411764705882,0.6588235294117647,0.8627450980392157,0.023529411764705882,0.6869306477454795,0.015748031496062992,5.476169517025318e-07,0.0,1.0,0.0,0,0,1,0,0,0,0,"['f23', 'f27']"
1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.6491666666666667,0.0,0.7529411764705882,0.5058823529411764,0.11372549019607844,0.035294117647058816,0.0008087281605249103,0.7529411764705882,0.6588235294117647,0.8627450980392157,0.0784313725490196,0.933043411917296,0.015748031496062992,5.736939494026522e-07,0.0,1.0,0.0,0,0,1,0,0,0,0,"['f23', 'f27']"
0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.5775810185185185,0.0,0.7529411764705882,0.6588235294117647,0.8627450980392157,0.05882352941176471,0.7548638132295721,0.7529411764705882,0.9098039215686274,0.392156862745098,0.023529411764705882,0.0067292286564431215,0.015748031496062992,1.031904051847628e-06,0.0,0.0,1.0,1,1,1,0,1,0,1,['f24']
0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.6296875,0.0,0.7529411764705882,0.6588235294117647,0.8627450980392157,0.05882352941176471,0.5193102922102694,0.7529411764705882,0.6588235294117647,0.392156862745098,0.023529411764705882,0.0012207217517357135,0.03937007874015748,8.922058498826964e-07,0.0,0.0,1.0,1,1,1,0,1,0,1,['f24']
1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.5330902777777777,0.0,0.7529411764705882,0.5058823529411764,0.10980392156862744,0.035294117647058816,0.0008087281605249103,0.7529411764705882,0.6588235294117647,0.8627450980392157,0.09411764705882353,0.5461203936827649,0.015748031496062992,6.705513694316715e-08,0.0,1.0,0.0,0,0,1,0,0,0,0,"['f23', 'f27']"
0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.5990625,0.0,0.8470588235294118,0.2274509803921569,0.8627450980392157,0.7764705882352941,0.0012207217517357135,0.7529411764705882,0.6588235294117647,0.8235294117647058,0.0196078431372549,0.8810101472495613,0.007874015748031496,1.2293441772913982e-07,0.0,0.0,1.0,0,1,0,0,0,0,1,['f24']
0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.6017013888888889,0.0,0.8470588235294118,0.2274509803921569,0.8627450980392157,0.9019607843137256,0.0012207217517357135,0.7529411764705882,0.6588235294117647,0.7843137254901961,0.047058823529411764,0.6439917601281758,0.007874015748031496,1.2293441772913982e-07,0.0,0.0,1.0,0,1,0,0,0,0,1,['f24']
0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.6008912037037037,0.0,0.7529411764705882,0.5058823529411764,0.06274509803921569,0.035294117647058816,0.0008087281605249103,0.7529411764705882,0.6588235294117647,0.8627450980392157,0.05882352941176471,0.8978866254673076,0.007874015748031496,2.514567635368769e-07,0.0,1.0,0.0,0,0,1,0,0,0,0,"['f23', 'f27']"
1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.7927777777777778,0.0,0.7529411764705882,0.5019607843137255,0.10980392156862744,0.035294117647058816,0.008621347371633479,0.7529411764705882,0.6588235294117647,0.8235294117647058,0.0,0.9348287174792096,0.007874015748031496,1.8626426928657543e-08,0.0,1.0,0.0,0,0,1,0,0,0,0,"['f23', 'f27']"
1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.5867708333333334,0.0,0.7529411764705882,0.5372549019607843,0.10980392156862744,0.035294117647058816,0.0027008468757152666,0.7529411764705882,0.6588235294117647,0.7843137254901961,0.031372549019607836,0.9330281528953994,0.023622047244094488,9.201454902756828e-07,0.0,1.0,0.0,0,0,1,0,0,0,0,"['f23', 'f27']"
0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.4072337962962963,0.0,0.7529411764705882,0.6588235294117647,0.4549019607843137,0.0039215686274509795,0.002395666437781339,0.7529411764705882,0.6588235294117647,0.8627450980392157,0.615686274509804,0.53334859235523,0.007874015748031496,2.0489069621523302e-07,0.0,1.0,0.0,0,0,0,0,1,0,0,"['f23', 'f29']"
0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.6053935185185185,0.0,0.8156862745098039,0.0,0.047058823529411764,0.035294117647058816,0.0067292286564431215,0.7529411764705882,0.6588235294117647,0.8627450980392157,0.027450980392156862,0.5531853208209354,0.023622047244094488,2.0489069621523302e-07,0.0,1.0,0.0,0,1,0,0,0,0,0,"['f23', 'f26']"
0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.6445833333333333,0.0,0.7529411764705882,0.6588235294117647,0.8627450980392157,0.035294117647058816,0.7678950179293508,0.07058823529411765,0.6588235294117647,0.5019607843137255,0.6509803921568628,0.0012207217517357135,0.047244094488188976,1.1492505414981706e-06,0.0,0.0,1.0,0,1,0,0,1,0,1,['f24']
1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.5362152777777778,0.0,0.7529411764705882,0.6588235294117647,0.8627450980392157,0.06666666666666668,0.6874647135118639,0.027450980392156862,0.2235294117647059,0.5647058823529412,0.09019607843137256,0.006759746700236515,0.015748031496062992,2.2910505122248783e-07,0.0,0.0,1.0,1,1,0,0,1,0,1,['f24']
0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.6715046296296296,0.0,0.7529411764705882,0.6588235294117647,0.8,0.0784313725490196,0.7441519798580911,0.07450980392156863,0.6666666666666666,0.5960784313725489,0.6980392156862745,0.009033340962844284,0.015748031496062992,1.0747448337835406e-06,1.0,0.0,0.0,0,0,0,0,1,0,0,"['f22', 'f29']"
0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.6881944444444444,0.0,0.592156862745098,0.396078431372549,0.25098039215686274,0.9137254901960784,0.006759746700236515,0.7529411764705882,0.6588235294117647,0.8627450980392157,0.027450980392156862,0.7128862439917601,0.007874015748031496,1.2293441772913982e-07,0.0,0.0,1.0,0,1,0,0,0,0,1,['f24']
0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.579375,0.0,0.7529411764705882,0.6588235294117647,0.392156862745098,0.0196078431372549,0.006790264744029908,0.7529411764705882,0.6588235294117647,0.8627450980392157,0.054901960784313725,0.7490196078431373,0.007874015748031496,2.0116541082950148e-07,0.0,0.0,1.0,0,1,0,0,1,0,1,['f24']
1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.5300810185185185,0.0,0.7529411764705882,0.6588235294117647,0.8235294117647058,0.015686274509803918,0.7751735713740749,0.34901960784313724,0.5098039215686274,0.25882352941176473,0.0039215686274509795,0.006637674525062943,0.015748031496062992,3.650779678016879e-07,0.0,0.0,1.0,0,1,1,0,0,0,1,['f24']
0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.6112615740740741,0.0,0.7529411764705882,0.5058823529411764,0.1176470588235294,0.035294117647058816,0.0008087281605249103,0.7529411764705882,0.6588235294117647,0.8627450980392157,0.023529411764705882,0.5617151140611887,0.015748031496062992,0.0,0.0,1.0,0.0,1,0,0,0,0,0,0,"['f23', 'f25']"
0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.5559375,0.0,0.32941176470588235,0.4235294117647059,0.29411764705882354,0.6431372549019608,0.006759746700236515,0.7529411764705882,0.6588235294117647,0.8627450980392157,0.05882352941176471,0.6745403219653621,0.015748031496062992,1.918521973651727e-06,0.0,0.0,1.0,0,1,0,0,1,0,1,['f24']
0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.705324074074074,0.0,0.7529411764705882,0.5019607843137255,0.3607843137254902,0.5372549019607843,0.006607156481269551,0.7529411764705882,0.6588235294117647,0.8627450980392157,0.05882352941176471,0.6694590676737621,0.007874015748031496,6.705513694316715e-08,0.0,1.0,0.0,0,1,0,0,0,0,0,"['f23', 'f26']"
0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.5836226851851852,0.0,0.21176470588235294,0.7529411764705882,0.17254901960784313,0.5647058823529412,0.02238498512245365,0.7529411764705882,0.6588235294117647,0.8627450980392157,0.027450980392156862,0.9279468986037996,0.007874015748031496,1.2293441772913982e-07,0.0,0.0,1.0,0,1,0,0,0,0,1,['f24']
0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.5330324074074074,0.0,0.21176470588235294,0.7529411764705882,0.415686274509804,0.7529411764705882,0.006759746700236515,0.7529411764705882,0.6588235294117647,0.8627450980392157,0.027450980392156862,0.9240711070420388,0.007874015748031496,1.2293441772913982e-07,0.0,0.0,1.0,0,1,0,0,0,0,1,['f24']
1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.5698032407407407,0.0,0.7529411764705882,0.5058823529411764,0.10980392156862744,0.035294117647058816,0.0009308003356984819,0.7529411764705882,0.6588235294117647,0.8627450980392157,0.0784313725490196,0.6830243381399252,0.015748031496062992,5.438916663168003e-07,0.0,1.0,0.0,0,0,1,0,0,0,0,"['f23', 'f27']"
